chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,XYDataImageAnnotation_Image_double_double_double_double_boolean,,,NaN,,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getImage,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getX,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getY,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getWidth,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getHeight,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getIncludeInDataBounds,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getXRange,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,getYRange,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,PlotRenderingInfo,,,NaN,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,equals_Object,35,2,0.57142857,1,0.57142857,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,hashCode,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,writeObject_ObjectOutputStream,7,2,0.2857143,1,0.2857143,,
javaProjects\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,XYDrawableAnnotation_double_double_double_double_Drawable,,,NaN,,,,
javaProjects\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,XYDrawableAnnotation_double_double_double_double_double_Drawable,,,NaN,,,,
javaProjects\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,PlotRenderingInfo,,,NaN,,,
javaProjects\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,equals_Object,36,3,0.83333336,1,0.8333334,,
javaProjects\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,hashCode,13,,,1,,,
javaProjects\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,XYImageAnnotation_double_double_Image,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,XYImageAnnotation_double_double_Image_RectangleAnchor,,,NaN,,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,getX,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,getY,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,getImage,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,getImageAnchor,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,PlotRenderingInfo,,,NaN,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,equals_Object,29,2,0.6896552,8,0.86269,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,hashCode,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,writeObject_ObjectOutputStream,5,1,0.2,1,,,
javaProjects\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,XYLineAnnotation_double_double_double_double,3,,,1,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,XYLineAnnotation_double_double_double_double_Stroke_Paint,,,NaN,,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,PlotRenderingInfo,,,NaN,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,equals_Object,33,1,0.33331,1,0.33332,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,hashCode,13,,,1,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,writeObject_ObjectOutputStream,5,,,1,,,
javaProjects\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,XYPointerAnnotation_String_double_double_double,11,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getAngle,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setAngle_double,4,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getTipRadius,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setTipRadius_double,4,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getBaseRadius,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setBaseRadius_double,4,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getLabelOffset,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setLabelOffset_double,4,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getArrowLength,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setArrowLength_double,4,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getArrowWidth,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setArrowWidth_double,4,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getArrowStroke,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setArrowStroke_Stroke,5,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,getArrowPaint,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,setArrowPaint_Paint,5,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_int_info,,,NaN,,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,equals_Object,34,,,11,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,hashCode,18,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,writeObject_ObjectOutputStream,5,,,1,,,
javaProjects\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,XYPolygonAnnotation_double[],3,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,XYPolygonAnnotation_double[]_Stroke_Paint,,,NaN,,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,XYPolygonAnnotation_double[]_Stroke_Paint_Paint,,,NaN,,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,getPolygonCoordinates,3,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,getFillPaint,3,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,getOutlineStroke,3,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,getOutlinePaint,3,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,_info,,,NaN,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,equals_Object,29,2,0.6896552,8,0.86269,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,hashCode,12,,,2,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,writeObject_ObjectOutputStream,6,,,1,,,
javaProjects\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,XYShapeAnnotation_Shape,3,,,1,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,XYShapeAnnotation_Shape_Stroke_Paint,3,,,1,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,XYShapeAnnotation_Shape_Stroke_Paint_Paint,,,NaN,,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,draw_Graphics2D_XYPlot_Rectangle2D_ValueAxis_ValueAxis_rendererIndex,PlotRenderingInfo,,,NaN,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,equals_Object,29,2,0.6896552,8,0.86269,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,hashCode,11,,,2,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,writeObject_ObjectOutputStream,7,,,1,,,
javaProjects\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,"Font_""SansSerif""",_1,,,NaN,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,XYTextAnnotation_String_double_double,18,1,0.55555556,2,0.27777778,,
